# Time, Sensor_reading, x, y, z
26.56, 0.00171015136834, -4.99815903926e-06, -9.77389499261e-16, -0.137758463751
26.56, 0.00171015136834, -4.99815903926e-06, -9.77389499261e-16, -0.137758463751
27.56, 0.00171015136835, -4.99804794577e-06, -5.5849403143e-16, -0.137758463751
28.56, 0.00171015136835, -4.99799123754e-06, -1.40596711192e-17, -0.137758463751
29.56, 0.00171015136835, -4.99798580063e-06, 2.55714936353e-16, -0.137758463751
30.56, 0.00171015136835, -4.99800157943e-06, 2.58320041978e-16, -0.137758463751
31.56, 0.00171015136835, -4.99801595883e-06, 8.92157112911e-16, -0.137758463751
32.56, 0.00171015136835, -4.99802172091e-06, 7.07900802324e-16, -0.137758463751
33.56, 0.00171015136835, -4.99802117857e-06, 3.54143863536e-16, -0.137758463751
34.56, 0.00171015136835, -4.99801871127e-06, 1.69268536382e-16, -0.137758463751
35.56, 0.00171015136835, -4.99801695602e-06, 7.66557820056e-17, -0.137758463751
36.56, 0.00171015136835, -4.99801644399e-06, 2.67910854187e-17, -0.137758463751
37.56, 0.00171015136835, -4.99801666111e-06, 3.35027811069e-17, -0.137758463751
38.56, 0.00171015136835, -4.99801704082e-06, 4.26934761169e-17, -0.137758463751
39.56, 0.00171530892794, 0.107535143881, -4.59186977993e-05, -0.144007524177
40.56, 0.00175920248202, 0.848353829474, -0.000482844188757, -0.184202793337
41.56, 0.00182177489622, 1.98024053203, -0.00104060511034, -0.256422188528
42.66, 0.00188771078093, 3.40746629942, -0.00175047365002, -0.35969159776
43.56, 0.00194855129748, 4.63342207501, -0.00240520134519, -0.456134518397
44.61, 0.0019993793143, 6.09088936133, -0.00322972261773, -0.577756783718
45.61, 0.00203697418118, 7.49077078696, -0.00405283087176, -0.698583004413
46.56, 0.00205919017203, 8.82523843594, -0.00485286459379, -0.815097155182
47.61, 0.0020649213652, 10.3024287544, -0.00574652307929, -0.943847597756
48.56, 0.00205348834019, 11.6390531081, -0.00653921520372, -1.0442909013
49.56, 0.00202596925108, 13.0435830321, -0.00723948273431, -1.09444352392
50.56, 0.00198366795015, 14.4456481704, -0.00780291566203, -1.09722205485
51.56, 0.00192847168473, 15.846000954, -0.00828337660183, -1.0712238745
52.56, 0.00186261042823, 17.2454053321, -0.00872527267089, -1.03214463871
53.56, 0.00178866366595, 18.641930462, -0.00894203490204, -0.98961299441
54.56, 0.00172416845621, 19.7841979817, -0.00584780076025, -0.956826651698
55.56, 0.00169421777326, 20.3011858449, -0.00284946239438, -0.944513025942
56.56, 0.00171551709615, 20.3997675863, 0.211102245465, -0.941767670703
57.56, 0.00180120516642, 20.2915716087, 0.804198818251, -0.92647737911
58.56, 0.00190324239422, 20.1701988315, 1.49578542287, -0.90874292004
59.56, 0.00202555541096, 20.1072457306, 2.21302959611, -0.894462470867
60.56, 0.00214580442496, 20.0505378211, 2.93254919784, -0.885965961609
61.56, 0.00228120360837, 20.0308467274, 3.62240603778, -0.894013717856
62.56, 0.00238315765556, 20.0923576621, 4.17453643328, -0.907723319305
63.56, 0.00244085104493, 20.1300687374, 4.47662836538, -0.920482254303
64.56, 0.00246539714664, 20.1043101294, 4.57839838711, -0.930164391569
65.56, 0.00247476837908, 20.0339478544, 4.58358307518, -0.939196628578
66.56, 0.00248707635279, 19.7123338139, 4.45732131874, -0.940628334776
67.56, 0.00247455839655, 19.1817190733, 4.11698337827, -0.920883399277
68.56, 0.00245049344937, 18.5849408014, 3.71422584413, -0.898365815869
69.56, 0.00245867198865, 17.911158786, 3.45589268156, -0.878944740449
70.56, 0.00250972796997, 17.2301672904, 3.41092952627, -0.861291540094
71.56, 0.00261322449399, 16.6416243581, 3.62800778285, -0.841939695074
72.56, 0.0027843472829, 16.1143114672, 4.06312111912, -0.815142546857
73.56, 0.00298000652584, 15.5189481274, 4.5338140377, -0.791926840963
74.56, 0.00317239771306, 14.8416741296, 4.948720559, -0.785934580981
75.56, 0.00337078863256, 14.1004067816, 5.27243021908, -0.796152237516
76.56, 0.00352754289374, 13.3163664196, 5.49389502327, -0.816550021675
77.56, 0.00363831331021, 12.508124495, 5.61290065079, -0.842134982424
78.56, 0.00369391136862, 11.6907283653, 5.63418156652, -0.868934262903
79.56, 0.003691443928, 10.8759585454, 5.56472589563, -0.894323080305
80.56, 0.00363425413271, 10.0727967478, 5.41243178242, -0.9169032237
81.56, 0.00353057842894, 9.28784590609, 5.18546861082, -0.936142514182
82.56, 0.00340164508992, 8.51788604111, 4.90131310865, -0.954486141193
83.56, 0.00328203895263, 7.61980598236, 4.70772435806, -0.977105439992
84.56, 0.00319126959403, 6.47567684715, 4.65255027759, -0.993249878139
85.56, 0.00307887907697, 5.18114505982, 4.63416671911, -1.00052387908
86.56, 0.00293870788899, 3.82415253756, 4.61769592197, -0.995438463917
87.56, 0.00277893457157, 2.44204143996, 4.60095070079, -0.977913351088
88.56, 0.0026097620421, 1.06713484437, 4.58224168205, -0.951910745806
89.56, 0.00248317763854, 0.0729787797117, 4.55982162326, -0.934885581911
90.56, 0.00243607023185, -0.290101274066, 4.5470172961, -0.933616729467
91.56, 0.00247962493846, -0.292750230578, 4.75638626381, -0.937747820616
92.56, 0.00262471636055, -0.187261611766, 5.35043164585, -0.928425082446
93.56, 0.00280352474221, -0.104948621287, 6.04453731375, -0.915965790877
94.56, 0.00299718752465, -0.0723078826189, 6.76234369255, -0.907436469133
95.56, 0.00319841285235, -0.0368270085452, 7.48031729877, -0.905555846283
96.56, 0.00341684368414, -0.0287516392425, 8.17198386385, -0.916013723148
97.56, 0.00359826018072, -0.0948795773992, 8.73349300621, -0.927291650242
98.56, 0.00369270036742, -0.134003521207, 9.04411537694, -0.93477159042
99.56, 0.00374092650799, -0.107772599065, 9.14921185804, -0.939709409999
100.56, 0.00376493425083, -0.0266266706691, 9.15194000351, -0.945227756597
101.56, 0.00381141320062, 0.344902344117, 8.99438767239, -0.945128128871
102.56, 0.00381937473423, 0.884480271592, 8.63117436322, -0.930995445186
103.56, 0.00383173362313, 1.50349728868, 8.26025212219, -0.914879118305
104.56, 0.00390923915082, 2.18457836071, 8.04602331404, -0.900139849107
105.56, 0.00406933738572, 2.86230842876, 8.04360554835, -0.887455514083
106.56, 0.00433562202384, 3.43177758255, 8.30730199043, -0.873953675807
107.56, 0.00472147751473, 3.9693519161, 8.75587895401, -0.849506025016
108.56, 0.00518725220331, 4.58196634027, 9.21739319529, -0.826311739811
109.56, 0.00568846730277, 5.27361131616, 9.61359868367, -0.819472951475
110.56, 0.00615423034876, 6.02470773338, 9.91516195491, -0.830657832345
111.56, 0.00658386584833, 6.81434466401, 10.1138516331, -0.851699861889
112.56, 0.0069136422159, 7.62468046389, 10.2108393436, -0.877082198288
113.56, 0.00706786326232, 8.44140739387, 10.2115167848, -0.903028641941
114.56, 0.00706103042848, 9.25338806221, 10.1231462388, -0.927167178748
115.56, 0.00689089459015, 10.0521645388, 9.95368749919, -0.948300081244
116.56, 0.00659180268514, 10.8316185569, 9.71135375852, -0.966027704121
117.56, 0.00622189874312, 11.6049568181, 9.4243699515, -0.983153278747
118.56, 0.00592068551343, 12.5416978166, 9.25483884847, -1.00066884336
119.56, 0.00563505711137, 13.719136352, 9.20826817956, -1.01060707621
120.56, 0.00527804274281, 15.0278304265, 9.18653193261, -1.01138677576
121.56, 0.00486476517515, 16.3903728768, 9.16555798059, -1.00062126088
122.56, 0.00443038465873, 17.774616049, 9.14430291117, -0.979188499221
123.56, 0.00401151114247, 19.1332588653, 9.12118599633, -0.951518825958
124.56, 0.00374146870002, 20.0425196262, 9.09967327189, -0.936046240818
125.56, 0.00365840278184, 20.3278324498, 9.08973180524, -0.935329011287
126.56, 0.00376111760905, 20.2888634385, 9.35034698467, -0.936866902652
127.56, 0.00402143660774, 20.1852573848, 9.9616533753, -0.921920429036
128.56, 0.00433114276723, 20.1138222407, 10.6603620341, -0.904304525435
129.56, 0.00466218231141, 20.082571807, 11.3782467602, -0.890773231328
130.56, 0.00502468611902, 20.0435759049, 12.0939144176, -0.883991381555
131.56, 0.00536229733583, 20.0439927663, 12.7779804505, -0.894052588554
132.56, 0.00563043790724, 20.1083634447, 13.3156105167, -0.908093440375
133.56, 0.00576397107141, 20.1364273882, 13.5982416474, -0.920843976525
134.56, 0.00583976418459, 20.1023280851, 13.6826738229, -0.930402669261
135.56, 0.00588518740347, 20.0270889083, 13.6710181895, -0.939390445991
136.56, 0.00601303796079, 19.7015153045, 13.5176052577, -0.940233519513
137.56, 0.00616034933591, 19.175179257, 13.1604163674, -0.920605826041
138.56, 0.00635621495695, 18.5468081601, 12.8202218039, -0.899615884816
139.56, 0.00669056949791, 17.8649979629, 12.6409503241, -0.8812401332
140.56, 0.00720789930238, 17.1955117843, 12.6756975701, -0.863355484829
141.56, 0.00792241197267, 16.6430176976, 12.9806404133, -0.841794949627
142.56, 0.00905090309342, 16.0947204767, 13.438124603, -0.813226819429
143.56, 0.0104511778367, 15.4669046237, 13.8911562915, -0.793595388534
144.56, 0.0121254400295, 14.7641327745, 14.2714656613, -0.790167411835
145.56, 0.0128290250209, 14.2926403536, 14.287830286, -0.790421298621
146.56, 0.0120164073935, 14.0427295494, 13.8251552316, -0.781369080917
